,,,
,,,
,English,,Hindi
,,,
,Can you see me?,,क्या आप मुझे देख सकते हैं?
,We are not noisy like other animals.,,हम अन्य जानवरों की तरह शोर नहीं कर रहे हैं।
,Danger! Do not go there.,,खतरा! वहॉं मत जाओ।
,"I love cakes and all kinds of sweets, just like you.",,मुझे आपकी तरह ही केक और हर तरह की मिठाई पसंद है।
,Every morning we get ready for school.,,हर सुबह हम स्कूल के लिए तैयार होते हैं।
,Rani is a good singer,,रानी एक अच्छी गायिका हैं
,Run fast around the room.,,कमरे के चारों ओर तेजी से चला।
,We walk silently in a line.,,हम एक लाइन में चुपचाप चलते हैं।
,"I may look very tiny to you, but I am very strong.",,"मैं आपको बहुत छोटा लग सकता हूं, लेकिन मैं बहुत मजबूत हूं।"
,Did you Hear?,,तुमने सुना?
,"Can I get a Saree for you, amma?",,"क्या मुझे आपके लिए एक साड़ी मिल सकती है, अम्मा?"
,The monkey climbed up the tree.,,बंदर पेड़ पर चढ़ गया।
,It’s that time of the year again.,,फिर यह वर्ष का वही समय है।
,How are you doing?,,आप कैसे हैं?
,What should I cook for dinner?,,मुझे रात के खाने के लिए क्या खाना चाहिए?
,,,
,,,
,English,,Malayalam
,,,
,Can you see me?,,നിങ്ങൾക്ക് എന്നെ കാണാൻ കഴിയുന്നുണ്ടോ?
,We are not noisy like other animals.,,മറ്റ് മൃഗങ്ങളെപ്പോലെ ഞങ്ങൾ ഗൗരവമുള്ളവരല്ല.
,Danger! Do not go there.,,അപായം! അവിടെ പോകരുത്.
,"I love cakes and all kinds of sweets, just like you.",,നിങ്ങളെപ്പോലെ കേക്കുകളും എല്ലാത്തരം മധുരപലഹാരങ്ങളും ഞാൻ ഇഷ്ടപ്പെടുന്നു.
,Every morning we get ready for school.,,എല്ലാ ദിവസവും രാവിലെ ഞങ്ങൾ സ്കൂളിനായി ഒരുങ്ങുന്നു.
,Rani is a good singer,,റാണി നല്ല ഗായികയാണ്
,Run fast around the room.,,മുറിക്ക് ചുറ്റും വേഗത്തിൽ ഓടുക.
,We walk silently in a line.,,ഞങ്ങൾ നിശബ്ദമായി ഒരു വരിയിൽ നടക്കുന്നു.
,"I may look very tiny to you, but I am very strong.",,"ഞാൻ നിങ്ങൾക്ക് വളരെ ചെറുതായി കാണപ്പെടാം, പക്ഷേ ഞാൻ വളരെ ശക്തനാണ്."
,Did you Hear?,,നീ കേട്ടോ?
,"Can I get a Saree for you, amma?",,"എനിക്ക് നിങ്ങൾക്ക് ഒരു സാരി ലഭിക്കുമോ, അമ്മേ?"
,The monkey climbed up the tree.,,കുരങ്ങൻ മരത്തിൽ കയറി.
