ENGLISH,HINDI
,
The castle was heavily bombed during the war.,युद्ध के दौरान महल पर भारी बमबारी की गई थी।
The machinery itself was still pounding on.,मशीनरी अभी भी अपने आप पर तेज़ थी।
Alexander was standing by the hearth.,सिकंदर चूल्हा लेकर खड़ा था।
"Wilson began, but he got no further.","विल्सन शुरू हुआ, लेकिन वह आगे नहीं मिला।"
She played brilliantly and with great musical feeling.,उसने शानदार ढंग से और शानदार संगीत की भावना के साथ खेला।
Mainhall liked Alexander because he was an engineer.,मैनहेल को अलेक्जेंडर पसंद था क्योंकि वह एक इंजीनियर था।
He even leaned forward over the rail a little.,वह थोड़ा आगे रेल पर झुक गया।
They have all grown very smart.,वे सभी बहुत स्मार्ट हो गए हैं।
And you have so many flowers.,और तुम्हारे पास इतने फूल हैं।
I like these little yellow flowers.,मुझे ये छोटे पीले फूल पसंद हैं।
"I have some drinks for you, too.",मेरे पास आपके लिए कुछ पेय भी हैं।
"Well, he is still clever and lazy.","खैर, वह अभी भी चालाक और आलसी है।"
We kept walking beside the river.,हम नदी के किनारे चलते रहे।
"It was a heavy, melancholy day.","यह एक भारी, उदासी भरा दिन था।"
,
ENGLISH,TAMIL
,
The castle was heavily bombed during the war.,போரின் போது கோட்டை மீது பெரிதும் குண்டு வீசப்பட்டது.
The machinery itself was still pounding on.,இயந்திரங்களே இன்னும் துடித்துக் கொண்டிருந்தன.
Alexander was standing by the hearth.,அலெக்சாண்டர் அடுப்புடன் நின்று கொண்டிருந்தார்.
"Wilson began, but he got no further.","வில்சன் தொடங்கினார், ஆனால் அவருக்கு மேலும் கிடைக்கவில்லை."
She played brilliantly and with great musical feeling.,அவர் அற்புதமாகவும் சிறந்த இசை உணர்விலும் நடித்தார்.
Mainhall liked Alexander because he was an engineer.,அலெக்சாண்டர் ஒரு பொறியாளராக இருந்ததால் மைன்ஹால் அவரை விரும்பினார்.
He even leaned forward over the rail a little.,அவர் கூட ரெயில் மீது சற்று முன்னால் சாய்ந்தார்.
They have all grown very smart.,அவர்கள் அனைவரும் மிகவும் புத்திசாலித்தனமாக வளர்ந்திருக்கிறார்கள்.
And you have so many flowers.,உங்களிடம் பல பூக்கள் உள்ளன.
I like these little yellow flowers.,இந்த சிறிய மஞ்சள் பூக்கள் எனக்கு மிகவும் பிடிக்கும்.
"I have some drinks for you, too.",உங்களுக்காக சில பானங்கள் என்னிடம் உள்ளன.
"Well, he is still clever and lazy.","நல்லது, அவர் இன்னும் புத்திசாலி மற்றும் சோம்பேறி."
We kept walking beside the river.,நாங்கள் ஆற்றின் அருகே நடந்து கொண்டே இருந்தோம்.
