,user_id,text,audioFileName,audioLength,commentMsg,language,AIF,TAADNM,SVIU,ICA,BIN,IA,VIROA
31806,1676,చిట్టెమ్మపుస్తకం రామారావు సాంఘిక నవల.,276195_1,5.585333,Text is fine;,Telugu,2,0,0,0,0,0,0
32600,862,లో మల్లీ వ లోకసభకు ఎన్నికయ్యారు టర్మ్.,276405_1,7.356,Text is fine;,Telugu,2,0,0,0,0,0,0
23361,2275,మొలకవర్గంమొలకతరగతి విద్య ఉపాధి వ్యాసాలు.,277019_1,7.484,Text is fine;,Telugu,0,0,0,0,0,0,0
29429,1132,పూర్తి చేసిన రోజు అన్న సంతర్పణ చేయడం మంచిది.,276709_2,5.82,Text is fine;,Telugu,0,0,0,0,0,0,0
11298,1791,భారతి సాహిత్య మాస పత్రిక జూలై 		శివలెంక శంభుప్రసాద్		తెలుగు.,277369_2,9.02,Text is fine;,Telugu,0,0,0,0,0,0,0
32196,862,మంచూరు వాయల్పాడు చిత్తూరు జిల్లాలోని వాయల్పాడు మండలానికి చెందిన గ్రామము.,276810_1,8.38,Text is fine;,Telugu,2,0,0,0,0,0,0
32606,862,మహానిధి సమస్త భూతములు తనయందు ఉన్నవాడు.,276399_1,6.843999999999999,Text is fine;,Telugu,2,0,0,0,0,0,0
11418,1791,వాసవీ కన్యక దివ్వెల పిచ్చయ్య గుప్త నాటకం.,277219_2,9.404,Text is fine;,Telugu,0,0,0,0,0,0,0
32432,862,చైసస్టర్ ఎ బెల్ మరియు చార్లెస్ సమ్మర్ టైనర్.,276574_1,6.716,Text is fine;,Telugu,2,0,0,0,0,0,0
8075,683,ప్రైవేటు కొరియర్గ్రామంలో లేదు సమీపప్రైవేటు కొరియర్ గ్రామానికి కిలోమీటర్ల కన్నా దూరంలో ఉంది.,277527_1,11.068,Many spelling/grammar errors in text;Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Telugu,0,0,0,0,0,0,0
