,user_id,text,audioFileName,audioLength,commentMsg,language,AIF,TAADNM,SVIU,ICA,BIN,IA,VIROA
10229,2452,एप्रिल २००३ मध्ये विंडोज सर्व्हर २००३ प्रकाशित झाला.,129322_1,7.1,Text is fine;,Marathi,0,0,0,0,0,0,0
22413,2057,त्यामळे हे प्रोग्राम शिकणे सोपे जाते.,128771_1,6.204,Text is fine;,Marathi,2,0,0,0,0,0,0
26008,1756,आणि या लेणीला भारतातील पहिल्या जागतिक वारसा स्थळाचा मान आहे.,128117_1,8.38,Text is fine;,Marathi,0,0,0,0,1,1,0
9078,1306,इंग्रजी तिसरीपर्यंतचे त्यांचे शिक्षण श्रीवर्धन येथेच झाले.,127391_1,8.636000000000001,Text is fine;,Marathi,3,0,0,0,1,0,0
5251,724,हा राजवाडा कृष्णराजाने बांधला होता.,127599_2,4.668,Text is fine;,Marathi,2,0,0,0,1,0,0
22499,2057,दावीद हा बेंथलेहेमचा मेंढपाळ.,128743_1,5.18,Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Marathi,2,0,0,0,0,0,0
15373,2501,२०१८ मध्ये येथून मुंबई साठी विमानसेवा सुरू होणे अपेक्षित आहे.,129482_1,6.332000000000001,Text is fine;,Marathi,0,0,0,0,0,0,0
14425,2041,याच्या व्हरांड्यात अंतरराष्ट्रीय कॉफी तास मिळते.,129137_2,6.332000000000001,Text is fine;,Marathi,0,0,0,0,0,0,0
15517,1380,या युद्धाचा प्रभाव दैनंदिन जीवनात पण दिसून येतो.,129391_1,7.74,Too many difficult words in text (not used in day-to-day conversations);Text is fine;,Marathi,0,0,0,0,0,0,0
29112,1268,मारिया शारापोव्हा ही एक व्यावसायिक रशियन टेनिसपटू आहे.,127113_2,7.1,Text is fine;,Marathi,2,0,0,0,0,0,0
