,user-id,text,audioFileName,audioLength,commentMsg,language,AIF,TAADNM,SVIU,ICA,BIN,IA,VIROA
233,2437,सबसे पहले प्रतिजैविकी का आविष्कार में पॉल एहरिच ने किया,29875_2,6.716,Text is fine;,Hindi,0,0,0,0,0,0,0
235,2437,राज्य और राजनीति धर्म से अलग किए गए,29874_1,4.54,Text is fine;,Hindi,0,0,0,0,0,0,0
237,2437,दिसम्बर ई. को इनका देहावसान हो गया,29873_1,4.9239999999999995,Text is fine;,Hindi,0,0,0,0,0,0,0
246,2437,राज्य दिवालियापन के कगार पर पहुंच गया था,29872_1,6.204,Text is fine;,Hindi,0,0,0,0,0,0,0
247,2437,"राजस्थान का युद्ध, ए.डी..ई.",29871_1,4.156000000000001,Text is fine;,Hindi,0,0,0,0,0,0,0
249,2437,उन्हें अमेरिका के पेटेन्ट प्राप्त हुए थे,29870_1,5.052,Text is fine;,Hindi,0,0,0,0,0,0,0
250,2437,लेनिन ने इन कृतियों की प्रशंसा की,29869_1,4.284,Text is fine;,Hindi,0,0,0,0,0,0,0
251,2437,यहां की यात्रा थकावट भरी लेकिन रोमांचक होती है,29867_2,5.308,Text is fine;,Hindi,0,0,0,0,0,0,0
253,2437,सूर्य के प्रखर प्रकाश को दिखाना संभव नहीं,29865_2,5.692,Text is fine;,Hindi,0,0,0,0,0,0,0
254,2437,"शेयरों संख्या , थी",29729_2,3.388,Text is fine;,Hindi,0,0,0,0,0,0,0
255,2437,यहां दिल्ली की परिक्रमा सेवा का भी हॉल्ट होता है,29728_2,5.692,Text is fine;,Hindi,0,0,0,0,0,0,0
256,2437,आरू द्वीपसमूह इसी प्रान्त में शामिल है,29727_2,5.308,Text is fine;,Hindi,0,0,0,0,0,0,0
257,2437,इसका फल छोटा गोलाकार एंव लाल रंग का होता है,29726_2,6.332000000000001,Text is fine;,Hindi,0,0,0,0,0,0,0
259,2437,वहाँ भी इस अवधि में यूएसडी .,29725_2,4.156000000000001,Text is fine;,Hindi,0,0,0,0,0,0,0
260,2437,मजाक बनाने के लिये एक मूर्ति बनाई थी,28404_2,5.9479999999999995,Text is fine;,Hindi,0,0,0,0,0,0,0
262,2437,जिससे उसकी मौत हो गई थी,24999_2,5.052,Text is fine;,Hindi,2,0,0,0,0,0,0
263,2437,वो मुस्कान को अपने साथ घर ले जाता है,24998_2,6.332000000000001,Text is fine;,Hindi,2,0,1,0,1,0,0
