,,
,,
,Hindi,English
,,
,एक रात मेरे पिता ने हम सबको जगा दिया।,One night my father woke us all up.
,तब मैं साल की भी नहीं हुई थी।,I was not even then.
,उस समय रात के तीन बज रहे थे।,It was three o'clock at that time.
,हम अंग्रेजों के गुलाम थे।,We were slaves of the British.
,अपनी बहादुरी पर गर्व है।,Proud of his bravery.
,पनीमारा छोटे किसानों का एक गांव है।,Panimara is a village of small farmers.
,यह किसानों के साथ धोखा है।,This is a fraud with the farmers.
,उससे शोर पैदा होगा।,It will make noise.
,मछलियां कैसे बचेंगी? नदी हमारी माँ है।,How will the fish survive? The river is our mother.
,इसने हमें खिलाया है।,It has fed us.
,हमारे बीच कोई भी शिक्षित नहीं है।,Nobody is educated among us.
,केवल राजाराम खेती को जारी रखे हुए हैं।,Only Rajaram continues to cultivate. 
,वे अपने बड़ों की सलाह नहीं लेते हैं।,They do not consult their elders.
,हम कुछ नहीं जानते।,We do not know anything
,,
,,
,Tamil,
,,
,காலஞ்சென்ற கனம்‌ கொடியாலம்‌ வா.,Come the late heavy flag.
,அது என்னவென்று,That's what it is
,கண்டுபிடிக்க இந்த வதந்தியை ஆராயத்தானே,Investigate this rumor to find out
,ஆனால்‌ விண்வெளிக்குச்‌ சென்று வருவது சாதாரண காரியம்‌ அல்ல.,But going into space is not a normal thing.
,மழையில்‌ நனைய பிடிச்சிருக்கு,I was soaking wet in the rain
,“எழுதப்படாத கவிதைக்கு வரையப்படாத சித்திரம்‌”,"""Unpainted drawing for unwritten poetry"""
,இந்த இணைப்பில்‌ பம்‌ அல்லது ஸா மைய இணைப்பிற்காக பயன்படுத்தப்படும்‌.,This link will be used for ‌ bum மைய or sa center connection.
,கடந்த வருடம்‌ 'வார்த்தை' இதழில்‌ வெளியான இந்தக்‌ கட்டுரையை இங்கே,Click here for this article published in 'Word' magazine last year
,"இவரை வீரப்பெண்‌ என்றும்‌,அபூர்வப்பெண்‌ என்றும்‌ பலர்‌ ",Many call her a heroine and a rare woman
,ஆவி அலையிற வீடுன்னு தெருவுல பேசிக்கிறாங்க.,The spirit wanders and the house speaks of the street.
,சென்றனன்‌ தானிருந்‌ தான்‌ உணர்ந்‌ தெட்டே.,The one who went was the one who felt himself.
,சிவனை விட மேன்மையான தேவர்‌ யாரும்‌ இல்லை.,There is no deity higher than Shiva.
,,
,,
,Telugu,
,,
,ఏ ప్రాణికైనా- పయనించడం జీవన విధానంలో ఒక భాగం!   ,For any creature- traveling is a part of life!
,"    పురుగైతే ఆహారంకోసం, మనిషైతే కడుపుతోపాటు కీర్తికోసం,   ","If the worm is for food, if the man is for the stomach and for glory,"
,"    కుటుంబంకోసం, కాసింత ఆనందంకోసం పరుగెత్తడం అవసరం!!    ","Need to rush for family, a bit of fun !!"
,    అలాంటి అమాయక క్రిముల్ని- తన గూడులోకి చిక్కుకోగానే    ,Such innocent germs- when trapped in his nest
